REF,Company (Manufacturer),Company Location,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent (%),Ingredients,Most Memorable Characteristics,Rating
1800,40,57,49,638,70.0,5,1819,3.5
1804,40,57,3,37,70.0,5,1283,3.25
1864,40,57,13,954,70.0,1,151,3.5
2190,41,60,58,705,75.0,5,900,3.25
2648,41,60,58,160,70.0,5,493,3.75
2246,42,44,58,1359,72.0,12,869,3.0
2246,42,44,23,64,72.0,12,867,3.0
2246,42,44,29,1236,72.0,12,1259,3.0
757,43,3,24,123,72.0,5,1692,4.0
773,43,3,28,1223,72.0,5,1008,3.75
1141,43,3,11,126,74.0,5,1991,3.5
1141,43,3,57,377,74.0,5,1245,3.5
1141,43,3,57,283,74.0,5,1121,3.5
1141,43,3,14,1109,73.0,5,198,4.0
2744,43,3,14,548,73.0,12,716,3.5
2744,43,3,57,489,74.0,12,476,3.0
508,44,52,57,236,70.0,5,356,3.25
508,44,52,57,1063,74.0,5,1228,3.25
508,44,52,57,947,72.0,5,452,3.5
636,44,52,57,588,72.0,5,298,3.5
636,44,52,14,433,72.0,5,373,4.0
1482,45,57,31,903,71.65558252427185,1,68,2.5
1486,45,57,10,1149,71.65558252427185,1,1141,2.5
2084,46,59,57,79,70.0,12,1698,3.5
2088,46,59,57,858,70.0,12,849,3.0
2088,46,59,57,233,70.0,12,615,3.0
233,47,57,28,1123,71.65558252427185,1,1424,3.0
233,47,57,33,173,75.0,1,992,3.5
233,47,57,13,1078,68.0,1,1190,3.75
256,47,57,18,72,70.0,1,1179,3.0
414,47,57,13,1078,75.0,1,172,3.0
423,47,57,28,1123,71.65558252427185,1,1515,3.25
478,47,57,24,122,71.65558252427185,1,524,3.25
502,47,57,2,1,70.0,1,1502,3.75
558,47,57,24,122,71.65558252427185,1,1334,2.75
565,47,57,28,1136,70.0,1,1394,3.0
963,47,57,18,499,72.0,5,1447,3.5
2108,48,57,21,551,71.65558252427185,1,719,3.0
2114,48,57,20,535,70.0,1,1135,3.0
2114,48,57,13,402,71.65558252427185,1,1946,3.25
2422,48,57,1,144,70.0,1,1270,2.75
256,49,57,13,691,71.65558252427185,5,2009,2.75
256,49,57,57,237,70.0,5,1908,2.75
256,49,57,31,824,70.0,5,1434,3.0
2574,49,57,13,317,70.0,12,105,3.75
1331,50,56,26,172,70.0,12,644,2.75
2590,51,57,8,1203,71.65558252427185,5,121,3.25
2590,51,57,1,839,71.65558252427185,5,916,3.25
322,52,47,2,964,72.0,14,1291,2.75
911,53,57,20,535,70.0,5,185,3.5
911,53,57,28,749,70.0,5,857,3.75
1752,53,57,20,697,75.0,1,1462,2.75
1752,53,57,49,639,75.0,1,101,3.5
1756,53,57,13,1394,75.0,1,23,3.0
1996,54,57,1,840,70.0,5,1364,2.75
2290,55,31,29,627,68.0,1,1924,2.5
2290,55,31,29,664,72.0,1,1930,2.75
2290,55,31,29,1262,74.0,1,811,3.25
24,56,17,2,252,71.65558252427185,5,1751,3.75
32,56,17,57,948,71.65558252427185,5,1536,3.75
48,56,17,57,783,75.0,5,334,4.0
75,56,17,28,749,75.0,5,1059,3.75
81,56,17,43,257,75.0,5,2038,3.0
81,56,17,57,283,75.0,5,319,4.0
123,56,17,14,466,71.65558252427185,5,537,2.5
199,56,17,57,1072,75.0,5,411,4.0
331,56,17,25,592,75.0,5,1298,3.0
336,56,17,35,1055,75.0,5,688,2.75
336,56,17,30,1070,71.65558252427185,5,1072,3.0
395,56,17,30,1384,75.0,5,657,3.0
629,56,17,11,369,75.0,5,649,3.5
629,56,17,35,375,75.0,5,1495,3.5
629,56,17,35,1031,71.65558252427185,5,316,3.5
629,56,17,4,720,75.0,5,196,3.75
629,56,17,21,551,75.0,5,794,4.0
629,56,17,28,751,75.0,5,667,4.0
672,56,17,4,609,71.65558252427185,5,1316,3.5
761,56,17,26,601,71.65558252427185,5,1284,3.25
1038,56,17,4,786,75.0,5,1306,3.5
1042,56,17,17,493,75.0,5,653,3.25
1339,56,17,4,622,75.0,5,351,4.0
1418,56,17,13,729,75.0,5,1494,3.25
1912,56,17,30,1187,71.65558252427185,5,889,3.5
2246,56,17,35,763,75.0,5,1308,4.0
2250,56,17,2,456,71.65558252427185,5,388,4.0
2554,56,17,31,449,71.65558252427185,5,100,3.75
1267,57,57,1,829,70.0,19,1624,2.75
1271,57,57,13,327,70.0,19,855,2.75
2096,58,57,3,1371,71.65558252427185,5,1184,4.0
2194,58,57,35,1322,71.65558252427185,5,1938,3.75
2254,58,57,14,468,75.0,5,30,3.5
1125,59,57,13,343,72.0,16,1313,3.0
1125,59,57,14,224,70.0,16,944,3.25
1129,59,57,18,506,75.0,16,618,3.5
1255,59,57,1,829,70.0,5,957,3.75
1355,59,57,57,283,70.0,5,985,4.0
1462,59,57,13,334,68.0,5,270,3.75
1868,59,57,57,533,70.0,5,1249,3.5
1868,59,57,31,936,70.0,5,1643,3.75
1980,59,57,13,460,70.0,5,575,3.25
1984,59,57,14,774,75.0,5,1547,3.75
1514,60,57,13,460,71.65558252427185,5,1492,3.0
1514,60,57,20,29,70.0,1,1986,3.5
1518,60,57,28,60,71.65558252427185,5,69,2.75
1518,60,57,1,829,71.65558252427185,5,1097,3.25
1149,61,57,26,595,70.0,14,171,3.0
1231,62,1,28,1220,72.0,5,1935,3.0
1231,62,1,13,781,70.0,5,1762,3.5
1231,62,1,14,222,72.0,5,696,3.5
1235,62,1,53,513,68.0,5,668,2.75
1638,63,41,14,433,71.65558252427185,1,1358,3.25
1181,64,57,13,402,71.65558252427185,5,852,2.75
2052,65,56,3,36,70.0,5,481,2.5
2052,65,56,20,713,70.0,5,1450,3.0
1299,66,57,53,1300,72.0,5,907,3.25
1299,66,57,14,868,71.65558252427185,5,717,3.5
1303,66,57,1,144,72.0,5,1469,3.25
1303,66,57,2,170,72.0,5,265,3.25
1323,66,57,14,438,71.65558252427185,5,1945,2.5
2314,67,46,14,433,71.65558252427185,1,1696,3.0
2274,71,53,48,1019,70.0,2,1149,3.25
2274,71,53,36,396,70.0,2,45,3.5
2266,72,6,20,91,70.0,12,2042,3.5
2266,72,6,3,166,71.65558252427185,12,1895,3.75
2330,72,6,20,882,70.0,12,1266,3.0
1606,73,40,37,1081,70.0,1,482,2.5
502,74,57,13,408,71.65558252427185,1,1278,2.5
502,74,57,13,404,75.0,1,307,2.75
600,74,57,57,995,75.0,1,1327,2.25
1215,74,57,35,1310,75.0,1,1453,2.5
141,75,17,57,1348,72.0,16,1537,2.0
300,75,17,49,1256,75.0,16,536,2.0
586,75,17,13,1175,70.0,16,1744,3.0
2226,76,52,8,540,72.0,1,1034,2.5
2226,76,52,8,539,72.0,1,1032,3.75
2230,76,52,8,541,72.0,1,1033,3.0
1391,84,59,57,13,75.0,1,966,2.5
1391,84,59,57,747,74.0,1,1226,3.25
1391,84,59,57,290,75.0,1,109,3.5
1395,84,59,57,290,70.0,1,760,3.75
1668,84,59,57,549,74.0,1,949,3.25
1692,84,59,57,1100,75.0,1,1787,3.25
2238,84,59,57,253,75.0,1,1530,2.75
2278,84,59,57,133,75.0,1,904,2.5
2278,84,59,57,228,70.0,1,1387,3.0
2076,77,57,57,283,70.0,1,1354,3.0
1430,78,8,8,1303,70.0,12,609,3.5
1434,78,8,8,185,69.0,12,823,2.75
1434,78,8,8,83,70.0,12,1000,3.25
1662,78,8,8,85,71.65558252427185,5,1436,3.75
1816,78,8,8,746,71.0,5,489,3.75
1816,78,8,8,1004,74.0,5,1076,3.75
1860,79,57,22,611,71.65558252427185,12,461,3.5
641,80,57,13,417,72.0,1,1518,3.0
991,80,57,13,364,71.65558252427185,1,1280,3.75
336,81,47,30,1068,71.65558252427185,12,488,4.0
346,81,47,30,1383,70.0,12,371,4.0
508,81,47,28,749,71.0,12,329,3.5
523,81,47,14,433,71.0,12,366,3.75
523,81,47,34,988,71.0,12,365,4.0
537,81,47,19,521,71.0,12,1637,3.25
537,81,47,57,1348,71.65558252427185,12,836,3.5
1908,81,47,9,764,71.65558252427185,12,1431,3.5
2510,82,57,13,1398,72.0,14,224,2.75
2510,82,57,35,1322,72.0,14,1009,2.75
2510,82,57,14,349,72.0,14,223,3.0
1684,83,28,28,749,70.0,1,1728,3.0
1684,83,28,35,1006,70.0,1,518,3.25
1684,83,28,58,1354,70.0,1,29,3.5
2084,85,46,18,499,70.0,19,903,3.0
2084,85,46,13,402,70.0,19,321,3.25
2084,85,46,14,433,70.0,19,727,3.5
2610,86,37,35,303,70.0,1,893,3.5
2610,86,37,35,1036,71.65558252427185,1,193,4.0
2614,86,37,35,704,70.0,1,275,3.5
237,87,13,14,53,71.65558252427185,12,1601,3.5
237,87,13,14,468,71.0,12,564,3.5
141,88,3,14,118,71.65558252427185,19,63,1.0
296,88,3,19,523,71.65558252427185,19,1934,2.75
749,68,27,39,1177,71.65558252427185,1,132,2.25
765,68,27,53,1297,70.0,1,123,2.5
1442,68,27,11,369,75.0,1,945,2.5
1442,68,27,13,402,71.65558252427185,1,967,3.0
1442,68,27,2,703,70.0,1,1273,3.5
1804,89,57,57,1054,75.0,5,1196,2.5
1804,89,57,49,1256,73.0,5,1910,2.75
1804,89,57,57,1056,70.0,5,1874,3.0
1808,89,57,3,178,75.0,5,1526,3.0
1808,89,57,4,186,70.0,5,435,3.25
2558,90,8,8,83,70.0,12,1748,3.25
2558,90,8,8,1303,70.0,12,1745,3.25
2558,90,8,8,277,70.0,12,1645,3.5
2558,90,8,8,859,70.0,12,221,3.75
245,91,13,14,731,71.65558252427185,12,429,2.75
269,91,13,14,468,71.65558252427185,12,1617,3.5
